episode,reward,steps,unique_locations,success
182,85.90188133144791,41,9,Success
183,84.81757793354416,39,9,Success
184,79.7526002810743,45,8,Success
185,-57.932204801994146,100,15,Success
186,90.47629474963914,30,5,Success
187,-52.23174266779962,86,10,Success
188,80.1729499091215,44,8,Success
189,89.79822581644052,28,5,Success
190,79.76643858778547,49,10,Success
191,-115.54942233646655,27,5,Collision
192,78.39186317769948,45,8,Success
193,98.11434897997009,19,4,Success
194,97.37895429985743,19,6,Success
195,88.52597023522692,40,10,Success
196,72.66903225993639,53,10,Success
197,86.25484179121003,36,7,Success
198,93.30802865330708,24,5,Success
199,-111.04303602387435,19,2,Collision
200,50.26205598033991,81,18,Success
201,79.2567312456817,49,10,Success
202,98.95887020147262,20,5,Success
203,91.53106045727498,23,5,Success
204,47.611581134926105,90,17,Success
205,61.49747903234989,75,18,Success
206,60.179773851798764,72,15,Success
207,91.44980612400548,35,8,Success
208,91.61610894734694,30,7,Success
209,76.16598397873301,42,6,Success
210,-115.72630486662243,25,3,Collision
211,-39.05656578625829,79,10,Success
212,91.3143823294409,37,9,Success
213,-120.30863036537255,31,4,Collision
214,-103.51380774482023,13,4,Collision
215,-50.495633149680756,85,11,Success
216,79.12908777039165,46,8,Success
217,-110.22043439440122,17,2,Collision
218,-78.74562823433669,134,12,Success
219,59.199160464522514,76,17,Success
220,85.14993130668816,37,7,Success
221,-106.28404833122895,13,2,Collision
222,-105.86407417271421,17,4,Collision
223,88.00910856938799,30,5,Success
224,-109.96408766863522,30,10,Collision
225,72.10784549104216,47,11,Success
226,77.38657207954172,51,11,Success
227,59.879824561902765,78,18,Success
228,75.49630872200326,54,12,Success
229,82.00649842630978,28,5,Success
230,82.76577524884587,45,9,Success
231,68.12398599846433,63,13,Success
232,91.6877065426814,40,11,Success
233,86.25499512097895,40,8,Success
234,-117.06094652372427,34,5,Collision
235,89.76924582547207,31,7,Success
236,71.11327431986723,58,11,Success
237,91.5895916166758,37,9,Success
238,88.01865404415199,40,9,Success
