episode,reward,steps,unique_locations,success
172,87.38113233814151,32,5,Success
173,48.11859900356083,85,16,Success
174,46.098658779848414,80,11,Success
175,-204.67088399570207,25,3,Collision
176,-274.31260717399664,105,4,Collision
177,-103.14806428052736,11,2,Collision
178,-119.51756749735274,31,4,Collision
179,-105.0188425482066,23,5,Collision
180,80.87906120851757,42,7,Success
181,25.206659317469047,106,18,Success
182,-43.5865973532638,83,9,Success
183,41.276001485320585,93,16,Success
184,-26.41954848201324,60,9,Success
185,-115.06526258884784,27,4,Collision
186,85.70805061964015,40,8,Success
187,83.95657556143998,29,4,Success
188,-110.35300578524165,19,2,Collision
189,81.73525411499065,44,9,Success
190,-211.51977615788695,28,2,Collision
191,89.90846886642031,26,4,Success
192,86.996632725595,39,8,Success
193,-111.06309733394562,23,4,Collision
194,73.19636111226909,54,7,Success
195,68.33866099064575,58,8,Success
196,30.65815646589533,106,18,Success
197,-18.266970725520835,41,3,Success
198,-213.4243626953658,35,5,Collision
199,-122.50917526095083,31,3,Collision
200,-253.61249239255073,78,9,Collision
201,-100.52800864002161,13,2,Collision
202,-107.9316844484481,15,2,Collision
203,51.67123130095702,81,17,Success
204,62.48872067250064,77,13,Success
205,62.706558900651984,68,9,Success
206,-102.01130858217546,14,2,Collision
207,44.79456051911436,91,16,Success
208,42.78566642874027,90,16,Success
209,-177.98100183135548,148,18,Success
210,-102.0689614594949,160,19,Success
211,-105.67969149885569,14,3,Collision
212,97.58040961942426,19,4,Success
213,89.61935344872262,23,4,Success
214,54.916086109056614,81,17,Success
215,-102.35792205169817,12,2,Collision
216,-131.54520864937223,47,9,Collision
217,67.96485466557198,65,12,Success
218,91.15597699738353,29,5,Success
219,74.51249184951183,55,9,Success
220,-108.37964868529193,16,2,Collision
221,-27.552982444891697,62,8,Success
222,-105.1643776241914,20,4,Collision
223,76.87668714535067,48,8,Success
224,82.46775880997271,46,11,Success
225,-363.5804497643335,92,3,Collision
226,-105.73254528569406,15,4,Collision
227,103.63863998469355,15,5,Success
228,93.20417711286335,21,5,Success
229,-104.06216396488537,15,3,Collision
230,-112.06241974406973,25,4,Collision
231,-100.90030742165551,12,3,Collision
232,83.03061902531323,36,5,Success
233,70.60301558867522,63,12,Success
234,58.71729137058084,77,11,Success
235,-101.30698364213382,12,3,Collision
236,77.09483056095542,56,13,Success
237,-112.7800290177866,22,3,Collision
238,-147.28878859119385,63,10,Collision
239,49.652914907874006,83,17,Success
240,-122.59554748427283,39,10,Collision
241,45.26812497435744,85,15,Success
242,-12.250326530150119,40,5,Success
243,-105.67488409710538,13,2,Collision
244,-119.27644731174865,31,4,Collision
245,-143.60618559103347,58,10,Collision
246,-101.0386375279368,15,3,Collision
247,-130.72453761702056,40,3,Collision
248,70.28958901237951,60,11,Success
249,94.18989330217751,21,3,Success
250,79.31807391301317,48,9,Success
251,-124.66639935524867,42,10,Collision
252,-141.75176048245572,60,12,Collision
253,80.93655523577966,42,7,Success
254,-114.07120188369976,24,3,Collision
255,72.10849259141688,55,8,Success
256,-101.12586359136085,9,2,Collision
257,42.711810023051775,83,13,Success
258,91.91489859879438,29,5,Success
259,59.20436636949245,62,6,Success
260,-107.33503020587905,14,2,Collision
261,-219.56532802993047,39,4,Collision
262,-203.14511240885463,20,2,Collision
263,68.28502234231217,61,10,Success
264,85.46563382187915,39,9,Success
265,88.45636290024214,31,7,Success
266,97.6990058510637,17,3,Success
267,58.54643596717064,76,16,Success
268,54.02419642943396,77,14,Success
269,87.5058457484328,38,8,Success
270,-218.5454040165406,32,2,Collision
271,-40.53619747454067,84,11,Success
272,36.13622871948374,100,18,Success
273,-136.04199571184884,42,3,Collision
274,95.2510061353253,24,5,Success
275,-110.52467219207512,21,3,Collision
276,-107.5301773975479,18,3,Collision
277,80.28692880695556,47,9,Success
278,-203.11553673414872,24,2,Collision
279,83.76851157950604,46,11,Success
280,92.37430441848625,25,4,Success
281,-113.8017909175867,27,4,Collision
282,-121.79062566462075,31,3,Collision
283,90.99165950249747,34,8,Success
284,77.83677042691875,51,11,Success
285,45.50088949982748,93,18,Success
286,83.89814303913661,45,9,Success
287,88.79559690987645,39,9,Success
288,88.77382469213575,33,8,Success
289,71.44732031980597,57,10,Success
290,81.6931341984495,46,9,Success
291,46.073299326713254,83,14,Success
292,-106.96595116984213,15,3,Collision
293,83.6437786238736,48,11,Success
294,55.348136412341574,81,17,Success
295,-116.31675525026658,26,2,Collision
296,91.33480631507658,32,8,Success
297,53.61311272542456,83,14,Success
298,82.14141839831896,46,9,Success
299,90.67344094225328,31,6,Success
300,94.19927615238477,18,4,Success
301,75.73304426558026,51,10,Success
302,80.9264885093362,42,8,Success
303,70.85768578317798,55,9,Success
304,-20.833014786804597,55,7,Success
305,37.67037287331491,93,14,Success
306,60.440018825991196,76,18,Success
307,-104.38532186642186,16,3,Collision
308,-121.64102371134902,32,4,Collision
309,94.37006879098074,23,4,Success
310,-118.85245923869925,37,10,Collision
311,-74.9617547512641,128,18,Success
312,78.22148742101177,56,12,Success
313,96.69763459781035,23,5,Success
314,-111.78267102215877,24,4,Collision
315,-98.30755186448401,10,2,Collision
316,-103.1111002588865,12,2,Collision
317,-100.943087434299,9,3,Collision
318,57.61511946599964,81,19,Success
319,86.1286778223112,41,8,Success
320,-250.89129775483988,87,16,Collision
321,-115.83642062999573,25,4,Collision
322,90.26167300044186,34,8,Success
323,85.16034874328885,39,9,Success
324,-219.88677019006644,39,3,Collision
325,-62.64916903705243,107,11,Success
326,81.72424138348879,40,7,Success
327,86.78516017087671,34,6,Success
328,-110.57872542786103,25,5,Collision
329,-108.06124309911108,16,2,Collision
330,-113.15460416772655,19,2,Collision
331,-120.1820668416333,28,3,Collision
332,-111.88730143399695,28,4,Collision
333,37.6666510990864,101,19,Success
334,57.0875111259972,79,17,Success
335,97.25970461477559,29,8,Success
336,73.74206964332498,54,10,Success
337,69.68321779341595,60,11,Success
338,66.3935904139212,61,10,Success
339,-117.55191129623346,29,4,Collision
340,96.09713782767774,29,8,Success
341,85.05880107961445,51,13,Success
342,79.65541032413425,48,9,Success
343,-107.77643577070359,18,3,Collision
344,95.3926002004233,20,4,Success
345,67.74314400395929,57,8,Success
346,89.91713896039232,42,11,Success
347,93.05524968446927,29,8,Success
348,-107.18748088360068,17,3,Collision
349,88.8008827437522,35,8,Success
350,89.13444486266813,36,8,Success
351,-102.60482685715014,13,3,Collision
352,-137.90817933417196,50,10,Collision
353,-29.255583818469788,66,10,Success
354,78.4868874851568,48,9,Success
355,85.8194392694671,32,6,Success
356,-109.48146467638963,19,3,Collision
357,75.52008728831689,50,9,Success
358,52.04483110054688,84,17,Success
359,-97.02151780297065,9,3,Collision
360,-107.61089288413848,19,4,Collision
361,101.71744829690584,17,5,Success
362,91.51921665005207,37,9,Success
363,93.30610440686972,29,8,Success
364,-43.67463631253548,81,11,Success
365,54.14738999028533,84,19,Success
366,87.62910977628283,39,8,Success
367,-104.53043379203085,13,2,Collision
368,78.92161468536193,47,9,Success
369,47.375293428222136,92,18,Success
370,61.98413105735539,78,19,Success
371,98.85093159762366,19,4,Success
372,-16.65851141596015,46,5,Success
373,66.42594957152714,59,9,Success
374,94.84366541008411,20,5,Success
375,-106.45781546861525,19,4,Collision
376,-103.03390447390686,14,3,Collision
377,-111.25381940533028,18,3,Collision
378,82.3873762785957,48,11,Success
379,90.31417743756543,34,8,Success
380,-113.14727444930773,25,4,Collision
381,84.41852723464035,51,11,Success
382,54.975782263573,88,20,Success
383,92.22012353437695,30,6,Success
384,64.04784460628831,70,12,Success
385,-110.55650177606067,23,4,Collision
386,-108.93034803214948,18,4,Collision
387,-140.8987643466603,50,8,Collision
388,84.65370812410245,38,7,Success
389,-107.66015291769627,20,4,Collision
390,-108.99739784429053,18,4,Collision
391,-114.30788325631906,21,3,Collision
392,64.21466300664494,59,9,Success
393,44.21068754729994,85,15,Success
394,89.75358930336843,45,12,Success
395,99.06168610113984,20,5,Success
396,81.72253393406089,45,8,Success
397,75.95696726938061,55,11,Success
398,-22.984903741660602,61,4,Success
399,85.22941186005909,32,5,Success
400,85.49193840197891,43,10,Success
401,81.64576852769972,41,8,Success
402,95.74620315918771,19,4,Success
403,-112.23182746343281,23,3,Collision
404,51.57603395494835,87,19,Success
405,81.45847360890401,48,9,Success
406,87.44429689631522,41,10,Success
407,88.71636791661942,38,7,Success
408,-210.82301808187856,33,4,Collision
409,84.27289814086451,44,9,Success
410,83.65396376391908,41,7,Success
