episode,reward,steps,unique_locations,success
1,-156.52016412553297,80,7,Collision
2,112.00921389166436,127,25,Success
3,-115.01392146407316,29,7,Collision
4,-152.49937667050472,86,10,Collision
5,-162.4448600712636,78,13,Collision
6,-143.65865622443658,70,17,Collision
7,-111.91633881135019,27,7,Collision
8,-68.94465514043699,83,16,Collision
9,76.71750472346298,55,13,Success
10,126.6619219524496,102,20,Success
11,-112.89141015333077,16,2,Collision
12,-133.9096117765812,29,2,Collision
13,-110.59925219323686,23,6,Collision
14,-98.12400453462642,16,4,Collision
15,-108.10797433149797,34,10,Collision
16,-114.339086872256,17,2,Collision
17,-322.286190609262,73,10,Collision
18,-35.30343363960279,83,15,Success
19,-253.69001054424587,111,13,Collision
20,-103.26346021791238,16,4,Collision
21,-309.43962949949923,118,2,Collision
22,-38.831366438495245,46,11,Collision
23,69.79111019457173,61,12,Success
24,-120.72828215443872,21,2,Collision
25,-115.85350947663679,47,12,Collision
26,-66.12552358603446,76,15,Collision
27,-59.59826794176758,59,11,Collision
28,-105.75979658171143,12,3,Collision
29,-243.9718220704805,44,2,Collision
30,-225.2169893553334,49,7,Collision
31,58.64930249351094,79,21,Success
32,-11.626180888312817,135,23,Success
33,-126.36642630803529,55,13,Collision
34,-100.21197924593743,12,3,Collision
35,-165.44027264766072,191,17,Collision
36,-53.12173700566415,66,13,Collision
37,-44.12853829673651,43,7,Collision
38,-144.8886072201826,39,2,Collision
39,-113.40008728609943,39,9,Collision
40,-241.48358169858895,42,2,Collision
41,-113.34289363903551,41,10,Collision
42,-107.14623047440242,22,6,Collision
43,-120.51470235119118,20,2,Collision
44,-39.616698567829275,44,8,Collision
45,-107.64592977752717,22,6,Collision
46,-344.9917598550921,82,2,Collision
47,-38.688779484477536,49,12,Collision
48,78.82208446245377,54,13,Success
49,-112.3990004492547,26,6,Collision
50,-161.76271605927107,77,13,Collision
51,-94.97608165221425,10,4,Collision
52,-35.0740488941466,138,25,Success
53,-38.27556635918899,45,10,Collision
54,-41.9328801865991,48,8,Collision
55,-43.97685337057558,48,10,Collision
56,-109.8650343342998,15,2,Collision
57,-269.9358398509538,86,7,Collision
58,73.31439751322256,55,13,Success
59,-40.786831195162755,46,10,Collision
60,-112.18223158633168,15,2,Collision
61,-115.41628187710556,28,7,Collision
62,-103.99845701202808,18,4,Collision
63,-161.9877553408252,69,9,Collision
64,-112.38070619029698,33,9,Collision
65,-103.54408492358057,15,3,Collision
66,-211.57626792238682,49,5,Collision
67,-379.68449020968745,169,18,Collision
68,-45.58658604325819,64,17,Collision
69,-98.12978231463136,16,4,Collision
70,-97.92663658622526,8,3,Collision
71,-53.13288013219603,69,18,Collision
72,16.64408161706571,121,19,Success
73,-114.66420330394327,17,2,Collision
74,-198.51108147309412,31,3,Collision
75,-155.87600770454304,50,3,Collision
76,64.56231777609673,73,20,Success
77,-49.37029256601643,66,17,Collision
78,-105.92995605047614,12,2,Collision
79,-122.32992480825088,50,12,Collision
80,-34.95383268779881,44,11,Collision
81,-74.2028683296987,93,20,Collision
82,115.6202260978351,128,31,Success
83,-103.64239872985632,28,7,Collision
84,-7.2342771008106155,133,20,Success
85,-259.52076519724704,48,2,Collision
86,-103.12300179263693,16,3,Collision
87,-106.27920755216135,13,3,Collision
88,-143.16716636940103,60,3,Collision
89,-278.6898326397344,235,16,Collision
90,80.22402692722977,56,13,Success
91,-186.01232434240825,85,12,Collision
92,78.01027260411381,56,13,Success
93,-136.64586623562107,35,2,Collision
94,-151.27439665747997,68,12,Collision
95,-106.75200495020071,11,2,Collision
96,-149.39906378453793,43,3,Collision
97,-103.095200097207,16,3,Collision
98,-48.84853347761789,54,11,Collision
99,-277.2451646114664,109,7,Collision
100,-103.7696874566716,24,6,Collision
101,-99.46168675783481,9,3,Collision
102,-113.64349776174798,27,7,Collision
103,-104.47151385577916,20,7,Collision
104,-101.08556286852348,18,4,Collision
105,-45.76495759349706,51,10,Collision
106,-111.70534573994371,45,13,Collision
