metric,value
total_episodes,641
successful_episodes,547
success_rate,85.33541341653667
collision_rate,14.664586583463338
truncation_rate,0.0
actions,0-61%, 1-22%, 2-16%
avg_episode_steps,31.940717628705148
avg_episode_reward,59.09971845543672
avg_unique_locations,8.853354134165366
total_steps,20474
training_time_seconds,162.65821051597595
