episode,reward,steps,unique_locations,success
172,-128.1494010125605,59,21,Collision
173,-1345.8099388974656,246,8,Collision
174,-114.62937293286846,19,4,Collision
175,-43.96211667036739,69,23,Collision
176,-724.969942146993,540,57,Collision
177,-116.0923251224583,40,13,Collision
178,-42.16784213815242,47,11,Collision
179,-149.17772901779608,73,21,Collision
180,-108.02289457238258,187,44,Collision
181,-38.75231967186286,140,43,Collision
182,-170.08460965870552,83,17,Collision
183,-76.05940152487938,174,43,Success
184,3.9124650489218453,154,39,Success
185,-134.55090681757508,22,3,Collision
186,-115.16390069822822,22,6,Collision
187,-113.66883511223561,32,8,Collision
188,-384.7690930642814,406,57,Collision
189,-111.84973193836117,21,6,Collision
190,-109.71788713400979,16,3,Collision
191,-125.56248716277449,35,10,Collision
192,46.66333714415709,89,23,Success
193,-243.47281994573896,75,11,Collision
194,-143.21537349873526,80,25,Collision
195,-200.41894979480173,88,19,Collision
196,-120.46810718145372,29,4,Collision
197,-104.24538885151065,13,2,Collision
198,-132.93522381893953,30,3,Collision
199,-30.941659926619096,60,19,Collision
200,-155.71729333152385,95,8,Collision
201,-201.96434786212313,177,35,Collision
202,-210.39505544125083,293,52,Success
203,-225.23296149027033,66,10,Collision
204,96.41556979133048,22,5,Success
205,-64.4048098944858,112,28,Collision
206,-155.70944418870602,81,20,Collision
207,-218.87779256727444,221,54,Collision
208,-71.11560824805841,61,12,Collision
209,-119.97298967671965,23,3,Collision
210,85.80780821387035,41,10,Success
211,-913.6072526736073,248,44,Success
212,-118.89961707398008,35,7,Collision
213,-155.11587300149998,99,24,Collision
214,62.05784663308598,87,20,Success
215,-111.23629617865231,16,4,Collision
216,-127.92865990684902,60,15,Collision
217,-109.11289858243563,14,3,Collision
218,-50.37123520392751,226,55,Success
219,69.36623369534448,69,15,Success
220,-144.7727361854612,72,19,Collision
221,-27.129305224381554,151,41,Success
222,-194.3779085685771,161,32,Collision
223,95.5113407791804,30,9,Success
224,90.49308220759436,38,11,Success
225,-102.09491436424635,9,3,Collision
226,116.45192982282512,122,28,Success
227,-125.51449219698992,30,8,Collision
228,47.584961584634975,89,26,Success
229,-255.3477200527482,68,7,Collision
230,-136.1863650599692,299,80,Collision
231,-42.65359676128938,59,17,Collision
232,-175.50710446228956,145,36,Collision
233,-251.08900457556777,101,4,Collision
234,93.48498798162512,130,33,Success
235,10.231885366376034,115,27,Collision
236,-23.598270051456225,306,64,Success
237,-75.90139730582113,128,35,Collision
238,-165.33038602193506,129,30,Collision
239,-143.90486103689202,170,41,Collision
240,88.63233793328511,33,8,Success
241,-270.73455726589805,182,3,Collision
242,-200.5746305880386,159,4,Collision
243,31.824130481930823,102,27,Success
244,-120.02789015290955,138,35,Collision
245,71.28292382447698,65,18,Success
246,-239.49103299851654,85,14,Collision
247,-373.0251394466476,213,20,Collision
248,-114.14698086119321,19,4,Collision
249,-129.17042974229713,96,21,Collision
250,-101.17608728732937,17,4,Collision
251,-22.734502290567136,265,9,Success
252,80.27053924836511,61,19,Success
253,-109.82843670858365,13,2,Collision
254,-123.02505695799996,42,12,Collision
255,-99.22473649567316,12,4,Collision
256,-29.103990661922964,147,38,Success
257,124.33257869808882,220,60,Success
258,-140.01168231757782,169,43,Collision
259,-50.698211806446935,77,22,Collision
260,-245.0883586436718,88,20,Collision
261,-208.16305586996066,17,2,Collision
262,-519.1600555512732,189,6,Collision
263,-116.9109487490233,26,6,Collision
264,-45.24499855310022,67,19,Collision
265,-193.84133612491206,210,52,Collision
266,-37.21548564363561,62,21,Collision
267,-341.09313684494157,294,8,Collision
268,-335.5626421496222,236,52,Collision
269,-153.28944965462574,71,19,Collision
270,-128.14502235195405,33,11,Collision
271,-37.208125596518244,263,65,Success
272,-33.807716696899305,149,38,Success
273,-7.370678442365744,135,36,Success
274,-489.3177971902228,184,41,Collision
275,135.0976039818188,111,31,Success
276,-67.28353448374884,57,11,Collision
277,-85.40566815279884,170,36,Success
278,49.834412495502406,91,26,Success
279,-51.58607081276703,92,30,Collision
280,-183.27649160923096,98,26,Collision
281,-152.98946741490096,148,38,Collision
282,-66.91719635934746,67,12,Collision
283,-130.12531228818483,17,4,Collision
284,-208.0276547003233,22,5,Collision
285,-107.92885381363745,14,3,Collision
286,-109.04378600906232,24,3,Collision
287,-251.18689726621417,352,36,Success
288,-229.3148002242063,307,57,Success
289,-96.88069318396482,246,15,Success
290,62.4969892832945,165,41,Success
291,-130.12589560260335,222,20,Collision
292,-118.10370702954003,22,5,Collision
293,-107.85043815050267,12,3,Collision
294,-132.56634385834036,26,3,Collision
295,-45.69928490156091,45,9,Collision
296,-13.225209314161901,233,44,Success
297,-117.95664067754849,40,12,Collision
298,-25.823406859159164,34,9,Collision
299,-94.52162857298424,2,1,Collision
300,-282.28440094696316,350,30,Collision
301,-244.4273305728538,41,6,Collision
302,-104.7285789558045,17,3,Collision
303,-422.4650666239387,401,65,Collision
304,-95.15846656171358,232,55,Collision
305,-131.0974081317275,70,14,Collision
306,-131.60862374161056,102,23,Collision
307,52.65676348410051,86,26,Success
308,88.91480276752598,32,8,Success
309,-141.26687544653623,68,19,Collision
310,-139.5853993979835,64,20,Collision
311,-292.6807181442422,130,15,Collision
312,-42.63213635000235,39,9,Collision
313,-234.37191503382138,24,2,Collision
314,4.959795103702277,118,32,Success
315,23.758755324294043,187,48,Success
316,-126.83789873066728,103,19,Collision
317,-383.9467515708551,152,12,Collision
318,-44.6838638981373,67,20,Collision
319,-154.4509015460321,84,27,Collision
320,-248.80192267904837,53,8,Collision
321,-108.32245241377606,27,8,Collision
322,-233.88996232869405,107,25,Collision
323,-84.1377724894632,99,25,Collision
324,-96.76084908732723,6,2,Collision
325,-119.63809764754674,21,3,Collision
326,30.97243613391079,106,26,Success
327,-116.35388793325448,25,7,Collision
328,-200.11196815390835,227,52,Collision
329,-112.93019839855992,144,42,Collision
330,-101.30891824706649,10,3,Collision
331,-135.17691251966585,45,11,Collision
332,-127.96847265604693,66,20,Collision
333,-104.06376520862774,14,5,Collision
334,-110.10476267521696,10,2,Collision
335,-236.17971053644868,163,45,Collision
336,-105.19075859133241,8,3,Collision
337,-331.10453561746465,57,3,Collision
338,7.446207426264806,113,25,Success
339,-36.09317120977075,59,18,Collision
340,-43.91701329467668,147,37,Success
341,-117.00611753236521,32,9,Collision
342,-107.40199936268897,20,4,Collision
343,-155.57568404794034,108,33,Collision
344,-415.1706145779202,135,3,Collision
345,-45.30410281746481,231,65,Success
346,-115.25578826856291,33,8,Collision
347,40.40176227604386,104,26,Success
348,-66.7429535831825,61,15,Collision
349,-67.34880795938103,101,18,Success
350,-106.54955087498846,11,2,Collision
351,3.8603589020391382,92,21,Collision
352,122.52156143299739,121,29,Success
353,-168.36856913770566,102,29,Collision
354,-122.1925307161828,20,4,Collision
355,-108.45114338997217,15,3,Collision
356,-118.74085572071107,23,8,Collision
357,-37.541655290268835,97,24,Success
358,-120.62151969481312,16,4,Collision
359,-29.882086022475562,142,40,Success
360,-117.60626799930174,59,20,Collision
361,39.88602544203554,96,28,Success
362,-249.48354865338567,92,9,Collision
363,-121.7586778315368,27,7,Collision
364,-71.26967690474515,77,21,Collision
365,-20.287167870658124,169,14,Success
366,-104.83592116780845,11,2,Collision
367,-134.0585346706672,19,4,Collision
368,-242.0545014638728,39,4,Collision
369,-121.45889906367266,167,49,Collision
370,-171.39860021982543,273,69,Collision
371,-108.48414092844358,131,32,Collision
372,-168.00583871999305,96,27,Collision
373,-63.30459821382482,123,40,Collision
374,65.24506855299482,74,22,Success
375,-91.06250721287125,142,35,Collision
376,141.84785704808476,103,28,Success
377,-129.1277500613239,29,7,Collision
378,-287.4617905904332,300,8,Collision
379,70.96830885986665,66,17,Success
380,-47.41954993372697,94,28,Collision
381,-129.92227399914353,19,4,Collision
382,-95.07866258440556,8,3,Collision
383,-205.20775731095011,77,3,Collision
384,-144.41869158724975,43,10,Collision
385,-118.25278013905495,19,4,Collision
386,-8.206069167980814,127,35,Success
387,-119.78104469430119,33,11,Collision
388,-37.02738409876946,67,23,Collision
389,-173.80383210305146,113,22,Collision
390,-101.43729715641103,18,6,Collision
391,-116.9854557177811,33,6,Collision
392,-320.87972601537854,156,15,Collision
393,-116.32097035627733,23,5,Collision
394,8.33462299681321,120,33,Success
395,-250.47001172545168,84,16,Collision
396,-187.69069378872024,232,52,Collision
397,12.194419399128662,212,59,Success
398,28.090170855783,109,30,Success
399,-214.1209042523339,62,7,Collision
400,-61.41024796475981,54,16,Collision
401,53.668745319014185,86,25,Success
402,93.48988563449204,28,7,Success
403,-91.12664853774072,142,41,Collision
404,82.84624542648416,56,16,Success
405,-105.72295809387244,9,2,Collision
406,-129.58775156192368,58,17,Collision
407,-138.37331482255524,60,16,Collision
408,-104.82983817897981,18,5,Collision
409,-121.24016487953097,16,3,Collision
