episode,reward,steps,unique_locations,success
1,-105.47107357505064,19,3,Collision
2,-116.2041910811721,26,3,Collision
3,78.21480877341195,55,12,Success
4,90.20362149223246,29,7,Success
5,-102.10919568409933,15,3,Collision
6,56.70664992724048,76,14,Success
7,-100.42236603055242,10,2,Collision
8,-114.65997413947981,26,3,Collision
9,-113.49600267238642,26,3,Collision
10,-205.52903818613285,32,3,Collision
11,-129.32326241085974,44,9,Collision
12,-25.600696103058795,58,7,Success
13,-5.341967348723287,30,5,Success
14,91.34471652980154,21,4,Success
15,94.39870606096466,20,5,Success
16,-227.1027327745897,56,6,Collision
17,82.54712554140872,41,7,Success
18,-94.26086256165146,6,2,Collision
19,-117.2275711012933,40,11,Collision
20,87.42515148468057,36,7,Success
21,-107.46168802630483,20,4,Collision
22,87.30861739691701,37,8,Success
23,-103.39114986322069,18,4,Collision
24,87.77008420636696,38,10,Success
25,-120.07010663552592,40,10,Collision
26,-98.85888377806573,11,2,Collision
27,-334.92156318880166,82,4,Collision
28,-103.74434539289543,19,4,Collision
29,-116.28865861339744,36,9,Collision
30,-230.4031568983326,59,10,Collision
31,-108.18279563306531,17,2,Collision
32,-109.16826844568297,15,2,Collision
33,72.65584987498977,58,11,Success
34,93.57592251022083,31,8,Success
35,82.19660950486053,40,7,Success
36,75.25260433714446,52,10,Success
37,-104.84674872563026,18,4,Collision
38,-101.26094972924916,11,4,Collision
39,-110.21024347035478,17,3,Collision
40,-115.7606381183247,24,4,Collision
41,53.21928506958187,83,18,Success
42,-121.55223477943699,39,9,Collision
43,-108.91806449916454,18,4,Collision
44,-101.12403791905204,10,2,Collision
45,-109.2423623938076,24,5,Collision
46,-101.44336110298308,9,2,Collision
47,-103.05231826973659,10,2,Collision
48,-115.67065275081653,28,4,Collision
49,-141.08249888793682,55,9,Collision
50,-106.77127410751176,14,3,Collision
51,-104.38693194955798,12,3,Collision
52,-98.37800653482729,10,2,Collision
53,-110.94499267961311,24,4,Collision
54,-110.19607170320684,20,3,Collision
55,-109.6026033394503,19,3,Collision
56,87.77115340006091,39,9,Success
57,54.479000891491516,78,15,Success
58,-99.20758498664584,9,2,Collision
59,-108.64746911243388,18,3,Collision
60,-104.6117547367372,18,3,Collision
61,-106.57849348037205,19,4,Collision
62,-225.5784497430684,57,2,Collision
63,-125.57068789410656,52,14,Collision
64,85.52164738946915,41,9,Success
65,-112.86198845358683,26,3,Collision
66,-106.65185588214347,17,3,Collision
67,-107.29402524331964,18,3,Collision
68,94.84199902179459,18,4,Success
69,-102.45131082763078,11,2,Collision
70,-100.73844089840077,11,3,Collision
71,87.05477408632316,39,8,Success
72,-106.21197592325478,16,3,Collision
73,-122.29148803618817,32,3,Collision
74,84.04368935018344,42,8,Success
75,99.10935615460987,18,4,Success
76,103.1470900231412,20,8,Success
77,81.34995399669164,38,5,Success
78,86.97514605501495,38,9,Success
79,-112.85254210321143,26,4,Collision
80,19.971283223628504,117,20,Success
81,-102.21907684813154,12,2,Collision
82,95.24608902966986,22,5,Success
83,-108.3545335273453,17,2,Collision
84,-316.2994581309472,50,3,Collision
85,62.329727554923885,73,15,Success
86,99.62238457184004,32,11,Success
87,89.03939954512197,31,7,Success
88,-104.28134664762288,17,4,Collision
89,-100.69200031068624,12,2,Collision
90,74.07224989304729,66,17,Success
91,-44.012410599401306,87,9,Success
92,-120.27711634907772,45,12,Collision
93,-216.7874075381576,41,4,Collision
94,-126.40385322138683,34,2,Collision
95,-97.26651736332589,7,2,Collision
96,75.47581877411008,46,7,Success
97,-130.90053916222445,46,8,Collision
98,65.84936804373163,63,9,Success
99,-99.10619017590538,11,2,Collision
100,96.09186445863611,32,9,Success
101,79.58789295913607,45,9,Success
102,-100.99025392432779,9,2,Collision
103,-116.79391845954041,27,4,Collision
104,-97.14820996751311,6,2,Collision
105,-112.95644082287286,24,3,Collision
106,54.770294053106895,88,20,Success
107,93.93592456119319,24,4,Success
108,97.43792027779398,33,10,Success
109,88.3775964895363,32,6,Success
110,-236.60138392334534,56,4,Collision
111,-101.60956671386975,21,6,Collision
112,-100.83031606974433,9,2,Collision
113,85.17752775741035,33,6,Success
114,84.2769406314483,44,10,Success
115,97.75209796528405,20,4,Success
116,91.10035249131114,31,7,Success
117,83.92773467870165,35,5,Success
118,84.08712712747707,40,6,Success
119,-130.5435279148075,47,10,Collision
120,-363.35125356738877,109,10,Collision
121,68.28314404753505,58,11,Success
122,95.4121225183001,24,7,Success
123,-25.666535050155943,61,8,Success
124,84.25799231164302,41,9,Success
125,-104.2708357741328,14,3,Collision
126,-136.42787616651157,64,16,Collision
127,-112.25603104528851,24,3,Collision
128,-104.12416225784106,10,2,Collision
129,-320.9135843378395,54,3,Collision
130,85.16090727040194,44,12,Success
131,-117.67882032689084,44,14,Collision
132,97.60820704069575,28,8,Success
133,-103.86059371371731,16,4,Collision
134,-96.83500049214452,5,2,Collision
135,-249.6650602435903,76,3,Collision
136,73.68099492229028,51,8,Success
137,-99.2283606566164,11,2,Collision
138,-95.02244671102171,6,3,Collision
139,-103.3252370992739,15,4,Collision
140,-105.3585184993544,15,4,Collision
141,-110.56916415128435,39,9,Collision
142,-111.61708217386612,33,11,Collision
143,-112.29955572260786,32,11,Collision
144,-101.59871647835098,10,3,Collision
145,-98.57935830415181,10,2,Collision
146,-111.85814823793945,26,5,Collision
147,100.96062666501133,18,5,Success
148,-108.09002867871746,18,3,Collision
149,-108.27912217219249,21,4,Collision
150,71.07344692073177,56,11,Success
151,-47.47563935271191,92,10,Success
152,-125.32211549689788,47,13,Collision
153,99.6264949392913,18,4,Success
154,74.51857264542774,51,10,Success
155,89.59077869891999,32,8,Success
156,83.78897627933279,40,7,Success
157,-108.89220231254475,19,3,Collision
158,91.72174148489042,28,5,Success
159,-111.4947763552626,22,3,Collision
