metric,value
total_episodes,1075
successful_episodes,257
success_rate,23.906976744186046
collision_rate,76.09302325581395
truncation_rate,0.0
actions,0-75%, 1-11%, 2-12%
avg_episode_steps,93.30325581395348
avg_episode_reward,-115.16644435554959
avg_unique_locations,19.56372093023256
total_steps,100301
training_time_seconds,768.6488826274872
