episode,reward,steps,unique_locations,success
1,86.7086606844681,53,18,Success
2,102.77871338110155,30,12,Success
3,-107.17358832555442,15,2,Collision
4,88.04824733898819,33,7,Success
5,104.7087638019895,12,4,Success
6,-112.48492795508135,46,17,Collision
7,-106.03968720977005,15,2,Collision
8,90.83211180204165,30,7,Success
9,89.77149198223957,32,7,Success
10,-149.1150671206206,72,15,Collision
11,98.27253045536355,26,7,Success
12,-120.51481637453494,47,14,Collision
13,86.58382673864064,54,18,Success
14,91.97334718729245,30,7,Success
15,102.33176584612977,14,5,Success
16,99.0581883472812,15,5,Success
17,-133.90052998715746,63,16,Collision
18,-109.54624072295506,30,11,Collision
19,-128.4955899676594,59,17,Collision
20,77.39128942739556,60,17,Success
21,81.1232811883186,50,13,Success
22,94.35803398815123,32,8,Success
23,76.22907470124922,58,15,Success
24,83.86417612580911,43,11,Success
25,88.63014433598707,34,7,Success
26,80.29901876596927,40,7,Success
27,92.25118893337505,39,12,Success
28,88.12489571306746,43,11,Success
29,-99.14600927387295,11,4,Collision
30,97.81769417021225,17,4,Success
31,88.76247569118415,46,13,Success
32,87.72026827650618,45,12,Success
33,103.71199894762037,15,5,Success
34,100.96210668917732,13,5,Success
35,-97.14495730554323,8,4,Collision
36,82.9892328823484,42,10,Success
37,89.34767267637888,48,17,Success
38,-104.3551313370961,25,10,Collision
39,89.80226560087449,33,8,Success
40,80.3132970472085,48,11,Success
41,95.91520300747581,35,11,Success
42,-11.120427366931395,50,9,Success
43,75.83909962770446,57,13,Success
44,76.25604706980138,60,16,Success
45,87.00844392343156,49,11,Success
46,88.500355763907,31,6,Success
47,-134.46082971616795,58,13,Collision
48,-109.77344576677126,27,9,Collision
49,82.14490529019488,51,13,Success
50,97.58400473558258,32,11,Success
51,88.51613404604835,35,9,Success
52,83.27056545033341,47,10,Success
53,83.43978990307544,41,9,Success
54,105.53515440384494,13,5,Success
55,87.29581232026838,38,8,Success
56,102.73627204969422,14,4,Success
57,81.29654572318316,48,10,Success
58,-248.97764704712597,84,3,Collision
59,88.04519476197935,38,9,Success
60,-99.03744274116912,10,3,Collision
61,93.6081879138444,33,10,Success
62,103.76158838537751,15,5,Success
63,-105.45189942596613,18,4,Collision
64,87.43608813216049,35,8,Success
65,-117.05847562370919,41,13,Collision
66,92.96959385105114,25,4,Success
67,94.4927205353069,33,9,Success
68,-170.7811337029551,79,17,Collision
69,-101.1214297849761,10,3,Collision
70,95.00444593115776,26,7,Success
71,101.8739832201934,17,6,Success
72,-117.85614287262298,30,4,Collision
73,84.29262264711042,47,12,Success
74,97.18683079860716,27,8,Success
75,-98.25923926932091,14,6,Collision
76,87.90810769219352,31,7,Success
77,-114.71437043717195,29,8,Collision
78,77.78742842959029,52,12,Success
79,-229.07993160230953,52,5,Collision
80,-100.56647765840819,30,10,Collision
81,96.17900607900205,31,11,Success
82,-125.37606075971439,50,14,Collision
83,95.12446283528969,26,7,Success
84,-133.36730103782315,58,15,Collision
85,-25.340862133398915,68,10,Success
86,-128.03837802966808,51,13,Collision
87,90.29187469884582,38,10,Success
88,80.65952094277698,55,16,Success
89,79.52440497114262,43,9,Success
90,102.58420666054876,25,9,Success
91,91.64851111805228,36,9,Success
92,104.91039428241153,14,5,Success
93,-114.55746934469873,25,3,Collision
94,68.775733297191,59,11,Success
95,97.02086046934579,28,7,Success
96,-99.73543719789886,13,4,Collision
97,96.01915859182992,41,16,Success
98,70.53314204615293,57,11,Success
99,89.03352567514652,37,9,Success
100,83.31824002375964,45,11,Success
101,73.10331546266806,56,11,Success
102,96.6484229082732,34,10,Success
103,78.65273346751938,47,9,Success
104,-119.06266304988243,43,13,Collision
105,74.63045053187949,60,15,Success
106,95.60909232453085,22,4,Success
107,87.96524653608887,34,7,Success
108,84.6788341986231,33,6,Success
109,82.30201575079226,50,12,Success
110,74.96833719233709,53,13,Success
111,88.03049910787824,54,19,Success
112,94.91336800125765,25,5,Success
113,89.0809739608245,41,11,Success
114,-105.11121208639076,25,10,Collision
115,83.54815882284989,40,8,Success
116,90.3183957111779,35,10,Success
117,103.45553478352838,13,4,Success
118,94.22745069337209,39,12,Success
119,99.13735581299272,18,4,Success
120,97.5309532994791,33,11,Success
121,87.90044055630575,41,12,Success
122,104.54599780501171,25,10,Success
123,68.40292044231578,66,16,Success
124,91.04988668753613,31,7,Success
125,-2.89285311972678,30,8,Success
126,99.31556528878508,20,6,Success
127,88.33781531176518,52,17,Success
128,93.79000809979102,36,10,Success
129,88.56194205095738,52,17,Success
130,99.72583558258566,20,5,Success
131,97.07148067314165,32,10,Success
132,101.27350100949599,18,5,Success
133,-100.8958942168396,13,5,Collision
134,92.9921637085578,29,7,Success
135,91.19162016057334,26,5,Success
136,86.67952303046715,49,14,Success
137,98.19706649315069,19,4,Success
