episode,reward,steps,unique_locations,success
1,-104.62415802786145,11,4,Collision
2,-103.81157681083054,25,10,Collision
3,101.07089048900886,21,7,Success
4,-68.76109823695674,94,24,Collision
5,-284.87046088982754,213,2,Collision
6,1.1648375603499943,131,41,Collision
7,-101.67987314326531,12,4,Collision
8,-103.7382952094646,11,3,Collision
9,90.76812459763364,41,14,Success
10,54.146942455621506,82,28,Success
11,62.96880958154152,167,52,Success
12,-23.705836917012036,52,22,Collision
13,96.35480890733118,24,8,Success
14,-772.9027991211425,106,17,Collision
15,-118.53846649965645,34,11,Collision
16,85.05846132991489,58,21,Success
17,-3.624760068487376,111,36,Success
18,-20.21689585489125,49,21,Collision
19,-42.11576660789746,104,45,Collision
20,100.75410580616982,15,4,Success
21,-95.56033340346342,12,4,Collision
22,-123.70862174410695,135,10,Collision
23,96.04573105474529,37,13,Success
24,-242.76233695595477,131,32,Collision
25,-210.12494490693084,106,29,Collision
26,83.50955347490478,145,51,Success
27,-662.5622151853146,58,2,Collision
28,45.06940003520202,91,28,Success
29,-193.32897393146018,23,2,Collision
30,-211.28973733187382,119,17,Collision
31,63.0856869577331,92,8,Success
32,174.22644358414016,193,60,Success
33,-106.22350681285155,12,2,Collision
34,-92.42720613215782,94,27,Collision
35,-249.76651978376572,78,23,Collision
36,-84.65598012350051,149,51,Collision
37,76.13103445861326,68,26,Success
38,-36.077210886306,61,18,Collision
39,-143.60419015244065,203,42,Collision
40,-137.71636689387267,224,56,Success
41,-115.65797355957483,19,3,Collision
42,-103.62858602427751,30,9,Collision
43,88.57250240367544,54,19,Success
44,-207.77425174540275,31,5,Collision
45,-157.48052796260626,186,61,Collision
46,11.154242823726207,118,20,Success
47,-69.97157002355641,103,23,Success
48,87.39124783402774,158,56,Success
49,-102.17029721731674,14,5,Collision
50,-101.68071264125065,9,3,Collision
51,-182.63168215164126,28,3,Collision
52,-115.12670899036421,17,4,Collision
53,-80.09791538390745,139,47,Collision
54,-38.086319592910236,71,25,Collision
55,-522.0927021590747,183,38,Collision
56,-140.78552518501903,24,6,Collision
57,-36.02180253328754,170,49,Collision
58,-128.99935981871428,146,40,Collision
59,-204.4743676210849,28,2,Collision
60,111.00627059512286,161,49,Success
61,-52.57725959156547,52,17,Collision
62,90.44264707174696,53,15,Success
63,-721.1705581664534,161,25,Collision
64,75.88177544134409,65,21,Success
65,-100.08121108319935,6,2,Collision
66,-269.1652936244871,248,51,Success
67,59.46088445038038,92,32,Success
68,-136.62276637947627,78,27,Collision
69,-98.42755008684448,135,44,Collision
70,-36.09617362569473,53,16,Collision
71,-105.81761056503811,16,5,Collision
72,-104.06052681501706,132,40,Collision
73,-104.74072839375832,32,10,Collision
74,-97.44802065118895,8,4,Collision
75,-101.32788312746823,16,5,Collision
76,-119.27046573668028,15,2,Collision
77,-34.46546621983194,40,13,Collision
78,-116.64927968627158,38,14,Collision
79,-113.77510310267577,31,11,Collision
80,-114.36889405769482,33,12,Collision
81,-129.63230742326024,58,20,Collision
82,94.26524837553174,41,15,Success
83,-110.72493191289313,26,11,Collision
84,-94.84368021255928,115,38,Collision
85,137.68743046075826,205,63,Success
86,33.551180487147036,136,26,Success
87,-158.3259044237946,37,4,Collision
88,-101.62203429706771,16,4,Collision
89,-3.565404917435444,123,42,Success
90,-46.97625050253097,83,31,Collision
91,-226.67448342830252,88,17,Collision
92,-73.28348456814467,212,33,Collision
93,24.821641447776173,104,30,Success
94,-162.38006717849393,153,23,Collision
95,70.42528342685237,74,26,Success
96,94.99396628670264,44,16,Success
97,-107.04298863659493,12,2,Collision
98,-218.2499933545821,39,5,Collision
99,-13.028622825223351,144,50,Collision
100,-41.25450804453331,35,9,Collision
101,-46.016742676876156,46,10,Collision
102,-57.568421139746626,147,47,Collision
103,-110.40673964246277,23,7,Collision
104,185.7914022988177,186,68,Success
105,-24.001372222080036,151,46,Collision
106,-114.1117362296591,54,24,Collision
107,-140.4866523213591,95,20,Success
108,-173.55821705418094,86,27,Collision
109,107.362274603362,126,35,Success
110,-39.40889524443976,51,19,Collision
111,73.69941079128093,63,21,Success
112,-95.82791348862696,43,21,Collision
113,29.884360990819445,114,40,Success
114,-118.1075487786974,29,8,Collision
115,-51.50814490910582,41,11,Collision
116,18.92216313975669,136,43,Success
117,93.04392668850767,37,11,Success
118,-105.33905702472013,15,4,Collision
119,84.70151675039327,50,17,Success
120,93.51829894952189,40,12,Success
121,-40.168887596755354,82,29,Collision
122,80.37675311425878,75,34,Success
123,-171.91396381006626,104,36,Collision
124,-67.5535929556593,70,20,Collision
125,-109.7040469212016,52,23,Collision
126,61.918738186444294,75,25,Success
127,-3.74118972745768,62,21,Success
128,189.3312027410608,163,60,Success
129,-105.67250673370718,11,2,Collision
130,-310.7797644672089,49,5,Collision
131,-134.19294597485927,78,30,Collision
132,-186.2661566780797,131,43,Collision
133,-211.8731242348261,64,21,Collision
134,-78.73853174987359,93,24,Collision
135,-42.45328574443464,51,17,Collision
136,-112.07283541561132,18,3,Collision
137,-115.40573054706569,19,6,Collision
138,-113.02813007047358,29,10,Collision
139,-97.10452482523628,11,3,Collision
140,-118.60075839977796,33,9,Collision
141,-170.7828591491417,80,24,Collision
142,-86.98149301081477,112,35,Collision
143,154.52040902821633,205,69,Success
144,29.704786525397637,136,23,Success
145,-165.3754700736334,103,37,Collision
146,-94.34231375991924,24,11,Collision
147,92.03724147329206,185,63,Success
148,-225.0116303404768,57,10,Collision
149,-81.17693842307494,99,31,Collision
150,-197.7903112623077,223,29,Collision
151,89.77441574432125,65,24,Success
152,-215.54404013087847,38,8,Collision
153,71.61629953769555,173,61,Success
154,-79.29888906581998,80,21,Collision
155,17.30879166266797,110,39,Collision
156,93.43086708804917,56,19,Success
157,-181.59856612362492,290,48,Collision
158,86.78352952429972,54,21,Success
159,-99.05579752658912,11,5,Collision
160,-124.99656728583504,29,6,Collision
161,60.404738282968744,74,24,Success
162,-110.4672061916398,31,10,Collision
163,-117.97278386913439,50,11,Collision
164,-107.85430057880666,19,6,Collision
165,-157.0847517418369,76,25,Collision
166,-83.03356350274129,148,51,Collision
167,-144.9084671057817,174,56,Collision
168,-110.47806133283717,25,8,Collision
169,-230.74083290667858,60,10,Collision
170,-42.74225107043084,224,57,Success
171,-114.36522584830766,17,4,Collision
172,-83.97602646116968,91,23,Collision
173,-115.1080740179593,38,11,Collision
174,-111.99385243773388,11,3,Collision
175,-120.27436232667982,35,13,Collision
176,96.8450963316399,33,11,Success
177,-97.39695636013786,14,6,Collision
178,-126.11891664632628,31,9,Collision
179,-197.58299497050075,130,21,Collision
180,-36.61043463680678,92,38,Collision
181,-105.79524717854041,16,5,Collision
182,63.637588651504046,80,28,Success
183,-52.387996479934486,85,30,Collision
184,-246.5042793224902,79,20,Collision
185,-353.07822578442006,395,44,Collision
186,-128.71898481839233,83,11,Collision
187,-107.18260467358816,16,6,Collision
188,-98.95252659586723,33,12,Collision
189,-108.00330416360575,26,10,Collision
190,83.75297956942374,48,15,Success
191,62.707856499971804,174,59,Success
192,-115.20683685255219,52,21,Collision
193,1.4284065351556876,132,42,Collision
194,-58.49098366310985,52,16,Collision
195,-158.3104047483747,71,2,Collision
196,64.92498692043144,73,21,Success
197,-106.96234350885501,31,12,Collision
198,-115.66278750736129,50,20,Collision
199,89.47728055317833,46,15,Success
200,-46.643846159972234,42,12,Collision
201,-118.95329470270167,48,17,Collision
202,36.93751635031821,105,38,Success
203,-131.2250441896594,52,18,Collision
204,-115.26351227589133,46,12,Collision
205,-125.11458220419881,59,22,Collision
206,-122.47520763147412,29,10,Collision
207,-44.72903929328714,42,9,Collision
208,-92.34233465840504,13,6,Collision
209,-102.97208231142159,8,2,Collision
210,2.7026805175014488,134,28,Collision
211,-214.77724116447513,59,14,Collision
212,-67.24512141245344,83,16,Success
213,-231.32829540127173,84,7,Collision
214,-105.14791983380447,14,2,Collision
215,83.7591413598783,151,52,Success
216,54.794817038325945,96,35,Success
217,-52.701026424395785,66,20,Collision
218,-60.26660439795585,53,14,Collision
219,72.76369998284963,75,20,Success
220,96.84909278435933,26,8,Success
221,87.96083599953215,43,12,Success
222,-81.66705221907498,137,48,Collision
223,92.58706540038037,28,8,Success
224,-210.66795612238326,45,3,Collision
225,-111.30932389100775,24,8,Collision
226,-160.61166055480854,120,28,Collision
227,-115.38157767680397,14,3,Collision
228,-229.61044634618048,51,9,Collision
229,-98.75741713247906,14,6,Collision
230,-110.92008587255776,11,1,Collision
231,-102.05139437788058,12,5,Collision
232,-120.44590174420742,24,7,Collision
233,-63.59601651071468,69,20,Collision
